team_home,team_away,score_home,score_away
Argentina,Iceland,3,0
Iraq,Venezuela,0,2
Saudi Arabia,Senegal,0,0
Congo DR,Chile,1,2
Peru,Spain,1,3
Philadelphia Union II,Côte d'Ivoire,0,2
France,Northern Ireland,3,1
Netherlands,Uzbekistan,2,1
Colombia,Jordan,2,0
Ecuador,Guatemala,3,0
Morocco,Norway,1,1
Croatia,Slovenia,2,1
Argentina,Honduras,2,0
Curaçao,Aruba,4,0
Brazil,Egypt,2,1
Venezuela,Türkiye,1,2
Jamaica,South Africa,1,1
Bolivia,Scotland,0,4
Cabo Verde,Bermuda,3,0
England,New Zealand,1,0
Qatar,El Salvador,0,0
Panama,Bosnia and Herzegovina,1,1
Switzerland,Australia,1,1
USA,Germany,1,2
Portugal,Chile,2,1
Belgium,Tunisia,5,0
Haiti,Peru,1,2
Canada,Ireland,1,1
Puerto Rico,Saudi Arabia,0,3
Paraguay,Nicaragua,4,0
Mexico,Serbia,5,1
Czechia,Guatemala,3,1
